Server Info
bitrateSwitch,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
stalling,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Throughput (Kbps),5899,1866,4522,1881,1764,2325,1191,866,1033,660,2292,1010,914,1011,2120,2473,897,620,973,955,1052,879

IP,10.0.0.15
Attribute,HIGH
initTime,2023-05-18 00:25:06.350176
endTime,2023-05-18 00:27:20.714069
liveTime(sec),134.363893
startupDelay,2866
Total stalling Event,0
player width,1280
player height,720
time,21.509,27.684,33.100,125.598,127.956,128.508,129.231
elapsed,0.000,6.175,11.591,104.089,106.447,106.999,107.722
bitrate,1401,1401,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,3.387,1.012,0.394,0.341,19.767,0.343,7.869
GMSD,0,0,0.85977,0,0.89184,0,0
bitrateSwitch,0,0,1,0,0,0,0
stalling,0,0,1,1,0,1,0
stallingTime (sec),0,0,1,2,2,3,3
Throughput (Kbps),2769,3091,3097,2832,2028,2601,2733

IP,10.0.0.16
Attribute,HIGH
initTime,2023-05-18 00:25:06.872051
endTime,2023-05-18 00:27:20.714072
liveTime(sec),133.842021
startupDelay,2799
Total stalling Event,0
player width,1280
player height,720
time,22.918,28.372,35.310,47.633,85.893,86.341,88.807,93.439,94.137,96.541,97.430,100.239,102.555,103.556,108.539,110.824,112.462,115.588,119.421,122.631,127.225,130.226
elapsed,0.000,5.454,12.392,24.715,62.975,63.423,65.889,70.521,71.219,73.623,74.512,77.321,79.637,80.638,85.621,87.906,89.544,92.670,96.503,99.713,104.307,107.308
bitrate,800,1401,800,400,400,1401,800,400,1401,2000,400,2000,2000,2000,400,2000,2000,2000,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,3.595,1.961,4.173,2.969,15.07,8.001,3.011,8.583,16.76,5.138,0.534,24.375,12.871,2.199,0.758,24.364,12.593,1.558,0.277,9.602,29.913,58.986
GMSD,0,0,0.88060,0,0.90766,0,0,0,0,0,0,0.91338,0.94241,0,0.93560,0,0,0.92019,0.87486,0.94952,0.85908,0.93324
bitrateSwitch,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0
stalling,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3
Throughput (Kbps),3567,2295,2963,1800,2184,1473,2283,2132,1324,3591,2455,2442,3108,2362,3009,2793,1511,3454,3548,2324,2387,3261

IP,10.0.0.43
Attribute,HIGH
initTime,2023-05-18 00:25:08.304636
endTime,2023-05-18 00:27:20.714075
liveTime(sec),132.409439
startupDelay,2326
Total stalling Event,0
player width,1280
player height,720
time,23.705,28.540,37.621,125.341,125.394
elapsed,0.000,4.835,13.916,101.636,101.689
bitrate,2000,2000,1401,400,800
framerate,29.97,29.97,29.97,29.97,29.97
bufferLevel,2.484,0,2.733,13.4,1.664
GMSD,0,0,0.93303,0,0
bitrateSwitch,0,0,1,1,1
stalling,0,1,0,0,0
stallingTime (sec),0,1,1,1,1
Throughput (Kbps),3867,2032,3674,2195,1537

IP,10.0.0.27
Attribute,HIGH
initTime,2023-05-18 00:25:09.417287
endTime,2023-05-18 00:27:20.714078
liveTime(sec),131.296791
startupDelay,1994
Total stalling Event,0
player width,1280
player height,720
time,25.385,30.317,112.379
elapsed,0.000,4.932,86.994
bitrate,2000,2000,800
framerate,29.97,29.97,29.97
bufferLevel,5.169,4.355,27.566
GMSD,0,0,0.85223
bitrateSwitch,0,0,1
stalling,0,0,0
stallingTime (sec),0,0,0
Throughput (Kbps),3321,3912,2829

IP,10.0.0.44
Attribute,HIGH
initTime,2023-05-18 00:25:09.576094
endTime,2023-05-18 00:27:20.714098
liveTime(sec),131.138004
startupDelay,2638
Total stalling Event,0
player width,1280
player height,720
