Server Info
bitrate,2000,1401,1401,800,800,800
framerate,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,6.67,48.142,44.593,47.59,47.31,43.97
GMSD,0,0,0.93448,0,0.81079,0
bitrateSwitch,0,1,0,1,0,0
stalling,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0
Throughput (Kbps),7765,16739,2563,2674,1988,1044

Avg GMSD,0.8658758333333335
Total Bitrate Switch,13
Total Stalling Event, 0

IP,10.0.0.40
Attribute,HIGH
initTime,2023-05-11 13:14:11.270327
endTime,2023-05-11 13:16:50.887093
liveTime(sec),159.616766
startupDelay,583
Total stalling Event,0
player width,1280
player height,720
time,11.212,16.311,21.493,26.509,31.616,41.200,46.512,68.278
elapsed,0.000,5.099,10.281,15.297,20.404,29.988,35.300,57.066
bitrate,2000,1401,1401,800,800,800,800,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,6.16,3.406,47.615,47.938,44.619,44.493,46.473,47.595
GMSD,0,0,0.94310,0,0.86154,0,0.91822,0
bitrateSwitch,0,1,0,1,0,0,0,1
stalling,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0
Throughput (Kbps),6713,5046,15979,1891,1300,2088,2386,1093

IP,10.0.0.43
Attribute,HIGH
initTime,2023-05-11 13:14:18.914746
endTime,2023-05-11 13:16:50.887115
liveTime(sec),151.972369
startupDelay,704
Total stalling Event,0
player width,1280
player height,720
time,18.547,23.915,28.735,34.040,43.241,50.145,105.697
elapsed,0.000,5.368,10.188,15.493,24.694,31.598,87.150
bitrate,2000,1401,1401,800,800,800,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,5.636,46.912,47.711,48.137,44.343,44.76,46.329
GMSD,0,0,0.91737,0,0.93174,0,0
bitrateSwitch,0,1,0,1,0,0,1
stalling,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0
Throughput (Kbps),7765,16739,3763,1474,1300,2088,898

IP,10.0.0.44
Attribute,HIGH
initTime,2023-05-11 13:14:20.074982
endTime,2023-05-11 13:16:50.887119
liveTime(sec),150.812137
startupDelay,451
Total stalling Event,0
player width,1280
player height,720
time,19.991,25.267,30.069,36.473,45.951,93.141
elapsed,0.000,5.276,10.078,16.482,25.960,73.150
bitrate,2000,1401,1401,800,800,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,6.222,47.163,47.326,47.214,44.165,46.37
GMSD,0,0,0.96881,0,0.98860,0
bitrateSwitch,0,1,0,1,0,1
stalling,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0
Throughput (Kbps),7765,16739,3763,1474,1300,1126

IP,10.0.0.32
Attribute,HIGH
initTime,2023-05-11 13:14:20.628884
endTime,2023-05-11 13:16:50.887133
liveTime(sec),150.258249
startupDelay,432
Total stalling Event,0
player width,1280
player height,720
time,20.612,25.553,30.797,36.727,45.734,52.812,56.249,63.888,108.719
elapsed,0.000,4.941,10.185,16.115,25.122,32.200,35.637,43.276,88.107
bitrate,2000,1401,1401,800,800,800,800,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,5.862,46.506,46.729,46.192,45.771,42.192,46.134,47.009,47.473
GMSD,0,0,0.88972,0,0.80585,0,0,0,0
bitrateSwitch,0,1,0,1,0,0,0,1,0
stalling,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0
Throughput (Kbps),7765,16739,3763,1474,1988,2140,1645,823,998

IP,10.0.0.1
Attribute,HIGH
initTime,2023-05-11 13:14:22.544820
endTime,2023-05-11 13:16:50.887138
liveTime(sec),148.342318
startupDelay,1104
Total stalling Event,0
player width,1280
player height,720
time,22.001,27.094,32.231,42.349,46.372,112.640
elapsed,0.000,5.093,10.230,20.348,24.371,90.639
bitrate,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,47.64,36.267,24.072,44.09,32.77,32.708
GMSD,0,0,0.90471,0,0.87871,0
bitrateSwitch,0,0,0,0,0,0
stalling,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0
Throughput (Kbps),5720,0,0,2486,0,0

IP,10.0.0.2
Attribute,HIGH
initTime,2023-05-11 13:14:23.750289
endTime,2023-05-11 13:16:50.887142
liveTime(sec),147.136853
startupDelay,462
Total stalling Event,0
player width,1280
player height,720
time,23.921,28.790,34.039,43.272,56.697,117.256
elapsed,0.000,4.869,10.118,19.351,32.776,93.335
bitrate,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,46.836,34.913,23.044,47.257,23.974,35.867
GMSD,0,0,0.85630,0,0.87557,0
bitrateSwitch,0,0,0,0,0,0
stalling,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0
Throughput (Kbps),7279,0,0,2791,0,0

IP,10.0.0.8
Attribute,HIGH
initTime,2023-05-11 13:14:23.897341
endTime,2023-05-11 13:16:50.887145
liveTime(sec),146.989804
startupDelay,374
Total stalling Event,0
player width,1280
player height,720
time,24.207,29.029,34.210,44.493,137.181
elapsed,0.000,4.822,10.003,20.286,112.974
bitrate,2000,2000,2000,2000,2000
framerate,29.97,29.97,29.97,29.97,29.97
bufferLevel,7.542,6.766,5.741,4.63,5.765
GMSD,0,0,0.99612,0,0.99462
bitrateSwitch,0,0,0,0,0
stalling,0,0,0,0,0
stallingTime (sec),0,0,0,0,0
Throughput (Kbps),5899,1866,1807,3860,2073

IP,10.0.0.4
Attribute,HIGH
initTime,2023-05-11 13:14:24.029259
endTime,2023-05-11 13:16:50.887148
liveTime(sec),146.857889
startupDelay,302
Total stalling Event,0
player width,1280
player height,720
time,24.182,29.062,34.268,44.532,64.861,99.320,125.962
elapsed,0.000,4.880,10.086,20.350,40.679,75.138,101.780
bitrate,400,400,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,47.546,46.73,41.616,36.536,35.509,33.613,34.635
GMSD,0,0,0.87749,0,0.86563,0,0
bitrateSwitch,0,0,0,0,0,0,0
stalling,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0
Throughput (Kbps),5432,288,0,0,265,97,374

IP,10.0.0.24
Attribute,HIGH
initTime,2023-05-11 13:14:25.212108
endTime,2023-05-11 13:16:50.887151
liveTime(sec),145.675043
startupDelay,689
Total stalling Event,0
player width,1280
player height,720
time,24.966,29.983,36.341,44.594,83.526,86.613,96.741,140.556,152.912
elapsed,0.000,5.017,11.375,19.628,58.560,61.647,71.775,115.590,127.946
bitrate,2000,1401,2000,2000,2000,800,400,400,800
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,11.125,12.206,28.265,16.287,4.65,45.611,46.862,46.995,46.065
GMSD,0,0,0.93906,0,0.98644,0,0,0,0
bitrateSwitch,0,1,1,0,0,1,1,0,1
stalling,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0,0,0
Throughput (Kbps),3646,6927,8060,0,1611,9172,691,708,1785

IP,10.0.0.17
Attribute,HIGH
initTime,2023-05-11 13:14:28.363056
endTime,2023-05-11 13:16:50.887153
liveTime(sec),142.524097
startupDelay,1177
Total stalling Event,0
player width,1280
player height,720
time,27.563,32.570,42.713,46.575,117.693
elapsed,0.000,5.007,15.150,19.012,90.130
bitrate,400,400,400,400,400
framerate,29.97,29.97,29.97,29.97,29.97
bufferLevel,47.362,35.27,23.149,47.421,29.762
GMSD,0,0,0.78122,0,0
bitrateSwitch,0,0,0,0,0
stalling,0,0,0,0,0
stallingTime (sec),0,0,0,0,0
Throughput (Kbps),5720,0,0,2791,0

IP,10.0.0.16
Attribute,HIGH
initTime,2023-05-11 13:14:28.706990
endTime,2023-05-11 13:16:50.887156
liveTime(sec),142.180166
startupDelay,476
Total stalling Event,0
player width,1280
player height,720
time,28.764,34.042,44.743,123.025
elapsed,0.000,5.278,15.979,94.261
bitrate,2000,1401,1401,800
framerate,29.97,29.97,29.97,29.97
bufferLevel,5.299,45.31,46.954,46.439
GMSD,0,0,0.82619,0
bitrateSwitch,0,1,0,1
stalling,0,0,0,0
stallingTime (sec),0,0,0,0
Throughput (Kbps),7765,16739,3763,1988

IP,10.0.0.18
Attribute,HIGH
initTime,2023-05-11 13:14:29.258879
endTime,2023-05-11 13:16:50.887168
liveTime(sec),141.628289
startupDelay,815
Total stalling Event,0
player width,1280
player height,720
time,29.102,35.386,45.101,64.382,98.495,102.662,110.819
elapsed,0.000,6.284,15.999,35.280,69.393,73.560,81.717
bitrate,2000,1401,800,800,800,400,800
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,6.652,46.296,45.621,45.623,46.087,46.722,45.931
GMSD,0,0,0.86263,0,0,0,0
bitrateSwitch,0,1,1,0,0,1,1
